scenario,model,horizon,predicted_nrmse,measured_nrmse
ar1_phi060,AB_noaux,8,1.0022925048615152,1.0006659987029811
ar1_phi060,AB_noaux,16,1.003950144019853,1.002346036554497
ar1_phi060,AB_noaux,32,1.0034354956705291,1.0026378755291523
ar1_phi060,AB_noaux,64,1.0025871561639417,1.002141659703294
ar1_phi060,AB_noaux,128,1.0033713659206287,1.002998112467258
ar1_phi060,QRC_K0,1,0.7982929855808067,0.8009321616777813
ar1_phi060,QRC_K0,2,0.931487448442463,0.9312771026483527
ar1_phi060,QRC_K0,4,0.9911859726024903,0.9915314180050251
ar1_phi060,QRC_K0,8,1.0005341770453446,1.0005221652088132
ar1_phi060,QRC_K0,16,1.0027058460222256,1.0015260148575607
ar1_phi060,QRC_K0,32,1.0029959143511027,1.0027022666697336
ar1_phi060,QRC_K0,64,1.0019565444753762,1.0023511985457776
ar1_phi060,QRC_K0,128,1.0028647746324466,1.0028768319034687
ar1_phi060,single_kernel,1,0.7983983466977265,0.8007345473804428
ar1_phi060,single_kernel,2,0.9311547645069833,0.9310012397885283
ar1_phi060,single_kernel,4,0.9916277491604133,0.9915401823073826
ar1_phi060,single_kernel,8,1.00052420412094,1.0005752251306081
ar1_phi060,single_kernel,16,1.003637616950055,1.0020762190384067
ar1_phi060,single_kernel,32,1.0035722744928117,1.0025958327600883
ar1_phi060,single_kernel,64,1.002417313271162,1.0022255813427097
ar1_phi060,single_kernel,128,1.0032693127456658,1.0029948853356927
ar1_phi060,triangular,1,0.7986020814036691,0.8006678883189414
ar1_phi060,triangular,2,0.9306473920389949,0.9310652465150964
ar1_phi060,triangular,4,0.9927966494988052,0.9917209059459484
ar1_phi060,triangular,8,1.0007087095636704,1.0006160846942789
ar1_phi060,triangular,16,1.0037548365315057,1.0019966053953464
ar1_phi060,triangular,32,1.0032174332434807,1.00259785422532
ar1_phi060,triangular,64,1.0026131571869015,1.0021550612887538
ar1_phi060,triangular,128,1.0035019355988846,1.0031023757897322
ar1_phi060,uniform,1,0.7986286488273179,0.8007969958802943
ar1_phi060,uniform,2,0.930870423829787,0.9312218750547879
ar1_phi060,uniform,4,0.9926485717570102,0.9919519820634226
ar1_phi060,uniform,8,1.0013084662043754,1.000648870536532
ar1_phi060,uniform,16,1.0027641086919374,1.0019212152902346
ar1_phi060,uniform,32,1.0034766952430811,1.002581894351992
ar1_phi060,uniform,64,1.0027093176400672,1.0021091865418075
ar1_phi060,uniform,128,1.003617195324412,1.0031523383593088
ar1_phi085,AB_noaux,1,0.5441110885201539,0.5472072571806323
ar1_phi085,AB_noaux,2,0.7140579011566047,0.7171449747585613
ar1_phi085,AB_noaux,4,0.8740918001054807,0.8751946621920598
ar1_phi085,AB_noaux,8,0.9770119334434456,0.9776182537872334
ar1_phi085,AB_noaux,16,1.0072809559550135,1.0063894766093613
ar1_phi085,AB_noaux,32,1.0095321180265975,1.0067590706180367
ar1_phi085,AB_noaux,64,1.0117346319114513,1.007114615626421
ar1_phi085,AB_noaux,128,1.0155296979914157,1.015703154314222
ar1_phi085,QRC_K0,1,0.5443781237010971,0.54745695605949
ar1_phi085,QRC_K0,2,0.7138690169904431,0.7157732943707974
ar1_phi085,QRC_K0,4,0.8735367672732153,0.875975835897197
ar1_phi085,QRC_K0,8,0.9762308794176572,0.9772608431803622
ar1_phi085,QRC_K0,16,1.007205166787723,1.006203645105501
ar1_phi085,QRC_K0,32,1.0062206894693304,1.0068913872203362
ar1_phi085,QRC_K0,64,1.0103822483916274,1.007151506346045
ar1_phi085,QRC_K0,128,1.0161587184023075,1.0141675547966078
ar1_phi085,single_kernel,1,0.544333751689059,0.5463755832601316
ar1_phi085,single_kernel,2,0.7140348259967138,0.7165832922598087
ar1_phi085,single_kernel,4,0.8739647224881236,0.8750415602497948
ar1_phi085,single_kernel,8,0.9764156768631201,0.9775396406575708
