stratum,r,u0,theory,metric,n_total,n_valid,n_pass,pass_fraction,mean,median,std,min,max,q10,q25,q75,q90
u0=0.5,all,0.5,separable_W_times_R,step_relative_frobenius,20,20,0,0.0,0.10678335369801051,0.10141332813041042,0.041104659459285105,0.04944098408825654,0.19770244430429906,0.06693219770999745,0.07857753174297359,0.12597954597807187,0.1613012933136296
u0=0.5,all,0.5,separable_W_times_R,frequency_relative_frobenius,20,20,0,0.0,0.3969798253927963,0.39396411997105063,0.04064206433947605,0.3408831202862328,0.4847780574171333,0.3471849303610207,0.36123777206478214,0.43663116900205196,0.4435567936311809
u0=0.5,all,0.5,separable_W_times_R,memory_function_l1,20,20,0,0.0,0.6194304599608065,0.626573873505818,0.07603959124983528,0.48843238669809796,0.7665578540663095,0.4991349976137737,0.5936287937651035,0.6719782232479374,0.7070854492873101
u0=0.5,all,0.5,separable_W_times_R,impulse_cosine_similarity,20,20,-1,,0.9205715811446655,0.9212344557410288,0.017488626203918372,0.8808442234135039,0.9464369348050007,0.8998272491086219,0.9052319905976096,0.9326653294605065,0.9444966206828015
u0=0.5,all,0.5,separable_W_times_R,step_cosine_similarity,20,20,-1,,0.9957627512092527,0.9965537414372356,0.0024118059574843773,0.9909881589476612,0.9988936421692822,0.9919030438692801,0.9941208322686583,0.9975291497978303,0.9980475918727494
u0=0.5,all,0.5,tangent_recurrence,joint_pass_all4,20,20,20,1.0,,,,,,,,,
u0=0.5,all,0.5,separable_W_times_R,joint_pass_all4,20,20,0,0.0,,,,,,,,,
u0=0.5,all,0.5,n/a,locally_stable_over_valid,20,20,20,1.0,,,,,,,,,
u0=0.5,all,0.5,n/a,locally_stable_over_total,20,20,20,1.0,,,,,,,,,
"r=0.7,u0=-0.5",0.7,-0.5,tangent_recurrence,impulse_relative_frobenius,10,10,10,1.0,4.789022512916254e-05,4.962436941241578e-05,1.610362996441186e-05,2.530791671586486e-05,7.237731804765116e-05,2.779988673077411e-05,3.4360541784485246e-05,6.107674763440531e-05,6.91993318214007e-05
"r=0.7,u0=-0.5",0.7,-0.5,tangent_recurrence,step_relative_frobenius,10,10,10,1.0,0.00014094264660313255,0.00014217071395023625,9.649913879552898e-05,3.303663964546303e-05,0.00030154124718370824,3.459725352897823e-05,4.1492738823731776e-05,0.00020827739065224039,0.00025421419896416416
"r=0.7,u0=-0.5",0.7,-0.5,tangent_recurrence,frequency_relative_frobenius,10,10,10,1.0,4.789022512916267e-05,4.9624369412416406e-05,1.6103629964410445e-05,2.5307916715866344e-05,7.237731804764633e-05,2.7799886730775683e-05,3.4360541784487414e-05,6.107674763440695e-05,6.919933182139812e-05
"r=0.7,u0=-0.5",0.7,-0.5,tangent_recurrence,memory_function_l1,10,10,10,1.0,1.9373476641406095e-05,1.3511578374835155e-05,1.4990585100600056e-05,3.710665884111238e-07,4.649633286646186e-05,4.363700478168236e-06,8.0628597788971e-06,2.9980415235021745e-05,3.99467219681384e-05
"r=0.7,u0=-0.5",0.7,-0.5,tangent_recurrence,impulse_cosine_similarity,10,10,-1,,0.999999998897542,0.9999999989492019,7.07379482993344e-10,0.9999999978426344,0.9999999997633264,0.9999999978962865,0.999999998287934,0.9999999995622058,0.9999999997100879
"r=0.7,u0=-0.5",0.7,-0.5,tangent_recurrence,step_cosine_similarity,10,10,-1,,0.9999999902440294,0.9999999957675791,1.3005428968901257e-08,0.9999999552573721,0.9999999995513056,0.9999999812024104,0.9999999865839078,0.9999999993965111,0.9999999995407057
"r=0.7,u0=-0.5",0.7,-0.5,separable_W_times_R,impulse_relative_frobenius,10,10,0,0.0,0.39405590223910436,0.3783905844913762,0.045019350097222986,0.34484523200576817,0.4893212918777568,0.3522224498593511,0.3553620427879067,0.4212160000294305,0.44857713582165215
"r=0.7,u0=-0.5",0.7,-0.5,separable_W_times_R,step_relative_frobenius,10,10,0,0.0,0.11067425341175711,0.09583454309332329,0.044672342616688204,0.04080820393518276,0.18193867516899312,0.06905485654789306,0.08336404154657093,0.14527276756625793,0.17904603621031182
"r=0.7,u0=-0.5",0.7,-0.5,separable_W_times_R,frequency_relative_frobenius,10,10,0,0.0,0.39405590223910436,0.37839058449137625,0.04501935009722298,0.3448452320057682,0.4893212918777568,0.35222244985935114,0.3553620427879066,0.42121600002943055,0.4485771358216521
"r=0.7,u0=-0.5",0.7,-0.5,separable_W_times_R,memory_function_l1,10,10,0,0.0,0.5726626539527785,0.5751444084101076,0.0718290844831749,0.4480162446211884,0.6723022065656747,0.46524187170433395,0.5358129167012393,0.6353789323496611,0.6473565069482468
"r=0.7,u0=-0.5",0.7,-0.5,separable_W_times_R,impulse_cosine_similarity,10,10,-1,,0.9214777292278583,0.9283350955826157,0.022028609764456957,0.8730947192452498,0.9492321484179844,0.8962865973618714,0.9095083316994965,0.936094620984283,0.9439256676609771
